slug,brand,product_name,category,upc,usda_fdc_id,serving_size,servings_per_package,calories,protein_g,total_fat_g,saturated_fat_g,total_carbs_g,fiber_g,sugars_g,added_sugars_g,sodium_mg,score,grade,protein_density_score,ingredient_quality_score,sugar_load_score,sodium_load_score,fiber_score,saturated_fat_score,last_verified,report_url
mission-soft-taco-flour-tortillas-28-oz-793-g,Mission,Soft Taco Flour Tortillas,Tortillas & Wraps,073731071038,1955227,1 TORTILLA,,140,4,3,1,26,0.98,1,,400,66,C+,62,70,96,24,44,87,2026-06-05,https://labelgrade.com/mission-soft-taco-flour-tortillas-28-oz-793-g
pepperidge-farm-goldfish-cheddar-crackers-6-oz-bag-onz,Goldfish,Cheddar Crackers,Other Snacks,00014100085478,2732705,Amount per serving,,140,3,5,0.999,20,0.99,0,0,250,66,C+,65,66,100,23,53,78,2026-06-05,https://labelgrade.com/pepperidge-farm-goldfish-cheddar-crackers-6-oz-bag-onz
quaker-life-original-multigrain-cereal-2-29-ounce-cup,Quaker,Life Original Multigrain Cereal,Cereal,00030000316009,1458847,1 container (65 g),,244,6.36,2.85,0.526,34,4.16,12.6,,322,66,C+,65,64,50,48,75,96,2026-06-05,https://labelgrade.com/quaker-life-original-multigrain-cereal-2-29-ounce-cup
sargento-string-cheese-snacks-5-oz-141-7-g,Sargento,Sargento String Cheese Snacks (Mozzarella),Cheese,046100007013,1870277,1 stick (24 g),,70,6,4.5,3,1,0,0,0,170,66,C+,88,82,100,30,30,39,2026-05-27,https://labelgrade.com/sargento-string-cheese-snacks-5-oz-141-7-g
campbells-chicken-noodle-condensed-soup,Campbell's,Condensed Chicken Noodle Soup,Soups & Broths,051000187680,1627241,0.5 cup,,69.6,3,2,0.504,11,0.96,0.996,,870,65,C+,54,61,99,29,36,98,2026-06-05,https://labelgrade.com/campbells-chicken-noodle-condensed-soup
country-archer-beef-jerky-original,Country Archer,"Country Archer, Beef Jerky, Original, Original",Other Snacks,853016002472,2016974,1 oz,,70,7,1,1,4,0,4,,280,65,C+,88,75,69,15,30,77,2026-06-03,https://labelgrade.com/country-archer-beef-jerky-original
digiorno-pepperoni-rising-crust-pizza-2-51-kg-839-g,DiGiorno,Pepperoni Rising Crust Pizza,Pizza,071921023492,2091622,0.167 PIZZA,,350,16,14,6.01,40,1.96,6.01,,951,65,C+,67,64,100,31,40,74,2026-06-05,https://labelgrade.com/digiorno-pepperoni-rising-crust-pizza-2-51-kg-839-g
field-trip-original-meat-stick-1-oz,Field Trip,Field Trip Original Meat Stick,Other Snacks,0854966005520,2651946,1 stick (28 g),,90,8,6,2,3,0,3,2,240,65,C+,93,72,84,22,30,59,2026-05-27,https://labelgrade.com/field-trip-original-meat-stick-1-oz
general-mills-sales-inc-honey-nut-cheerios-cereal,General Mills,Honey Nut Cheerios Cereal,Cereal,00016000483668,610432,3/4 cup (28g),,110,2,1.5,0,22,1.99,9,,160,65,C+,61,75,29,42,80,100,2026-06-05,https://labelgrade.com/general-mills-sales-inc-honey-nut-cheerios-cereal
jack-links-premium-cuts-beef-jerky-original-hickory-smokehouse-3-25-oz,Jack Link's,Jack Link's Premium Cuts Beef Jerky Original Hickory Smokehouse,Other Snacks,017082700100,1852296,1 oz (28 g),,80,12,1,0.5,5,0,5,,540,65,C+,100,67,61,0,30,89,2026-05-27,https://labelgrade.com/jack-links-premium-cuts-beef-jerky-original-hickory-smokehouse-3-25-oz
red-baron-rising-crust-pepperoni-pizza-19-33-oz-547-g,Red Baron,Rising Crust Pepperoni Pizza,Pizza,072180567369,2032003,0.25 PIZZA,,340,14,12,5,45,2.06,8,,890,65,C+,65,63,95,33,41,77,2026-06-05,https://labelgrade.com/red-baron-rising-crust-pepperoni-pizza-19-33-oz-547-g
sunshine-cheez-it-baked-snack-crackers-24-oz-680-g,Cheez-It,Original Baked Snack Crackers,Other Snacks,024100730360,2087644,27 CRACKERS,,150,3,8,2,17,0.99,0,,230,65,C+,65,72,100,27,53,62,2026-06-05,https://labelgrade.com/sunshine-cheez-it-baked-snack-crackers-24-oz-680-g
bisquick-original-pancake-and-baking-mix-96-onz,Bisquick,Original Pancake & Baking Mix,Baking Mixes,00016000422001,2741812,1/3 cup mix,,150,2,2,0.5,30,1.01,2,2.02,380,64,C,57,67,89,20,47,94,2026-06-06,https://labelgrade.com/bisquick-original-pancake-and-baking-mix-96-onz
breyers-natural-vanilla-ice-cream-1-pt-473-ml,Breyers,Natural Vanilla Ice Cream,Ice Cream & Frozen Desserts,077567274731,2030766,2/3 cup,,170,3,9,6,19,0,19,14,50.2,64,C,55,80,44,100,30,61,2026-06-05,https://labelgrade.com/breyers-natural-vanilla-ice-cream-1-pt-473-ml
cabot-pepper-jack-cheese-2-lbs-907-g,Cabot,Cabot Pepper Jack Cheese,Cheese,078354715345,2057248,1 oz (28 g),,110,7,9,6,1,0,0,0,170,64,C,88,82,100,35,30,19,2026-05-28,https://labelgrade.com/cabot-pepper-jack-cheese-2-lbs-907-g
doritos-tortilla-chips-nacho-cheese,Doritos,Nacho Cheese Tortilla Chips,"Chips, Pretzels & Snacks",028400335799,1629973,1 oz,,140,2,8,1,16,1.01,0,,210,64,C,61,59,100,27,55,77,2026-06-05,https://labelgrade.com/doritos-tortilla-chips-nacho-cheese
kelloggs-pop-tarts-frosted-strawberry-761-88-lbr,Pop-Tarts,Frosted Strawberry,Toaster Pastries,30038000551308,2649698,1 Pastry,,170,2.02,2.64,0.864,36.3,2.78,14.5,14.1,114,64,C,56,64,35,72,71,89,2026-06-06,https://labelgrade.com/kelloggs-pop-tarts-frosted-strawberry-761-88-lbr
kraft-velveeta-shells-and-cheese,Velveeta,Shells & Cheese Original,Macaroni & Cheese,021000065561,1631363,1 PACKAGE,,480,15,16,5,65,1.99,7,,1220,64,C,66,64,100,22,40,77,2026-06-05,https://labelgrade.com/kraft-velveeta-shells-and-cheese
krave-pork-jerky-black-cherry-barbecue,Krave,"Krave Pork Jerky, Black Cherry Barbecue",Meat Sticks / Jerky,855002003210,1646434,1 oz (28 g),,80.1,9,0.501,0,10,0,9,,320,64,C,98,72,29,10,30,100,2026-05-28,https://labelgrade.com/krave-pork-jerky-black-cherry-barbecue
nature-valley-crunchy-granola-bars-oats-n-honey,Nature Valley,Crunchy Oats 'n Honey Granola Bars,Snack & Granola Bars,016000335301,1635468,2 BARS,,190,3,7,1,29,2.02,11,,180,64,C,61,72,42,53,64,85,2026-06-06,https://labelgrade.com/nature-valley-crunchy-granola-bars-oats-n-honey
ocean-spray-cranberry-juice-cocktail-64-fl-oz-1-89-l,Ocean Spray,Cranberry Juice Cocktail,Juice,031200200075,2038758,8 OZA,,110,0,0,0,28,0,28,,4.8,64,C,50,80,0,100,30,100,2026-06-06,https://labelgrade.com/ocean-spray-cranberry-juice-cocktail-64-fl-oz-1-89-l
tillamook-extra-sharp-cheddar-cheese-10-oz-283-g,Tillamook,Tillamook Extra Sharp Cheddar Cheese,Cheese,072830001854,2020966,1 oz (28 g),,110,7,9,6,0,0,0,,170,64,C,88,82,100,35,30,19,2026-05-28,https://labelgrade.com/tillamook-extra-sharp-cheddar-cheese-10-oz-283-g
tillamook-sharp-cheddar-cheese,Tillamook,Tillamook Sharp Cheddar Cheese,Cheese,218063407661,399213,1 oz (28 g),,110,7,9,6,0,0,0,0,170,64,C,88,82,100,35,30,19,2026-05-28,https://labelgrade.com/tillamook-sharp-cheddar-cheese
armour-chicken-vienna-sausage-4-6-onz,Armour,Chicken Vienna Sausage,Canned Meat & Entrees,00054100179906,2769172,4 Sausages (60g),,120,7,10,3,1,0,0,,530,63,C,68,67,100,21,30,70,2026-06-06,https://labelgrade.com/armour-chicken-vienna-sausage-4-6-onz
banquet-classic-salisbury-steak-meal-11-88-onz,Banquet,Classic Salisbury Steak Meal,Frozen Dinners & Entrees,00031000007300,2769904,1 Meal (337g),,361,11,17,4.99,41,3.03,17,10.1,1040,63,C,55,56,60,67,36,91,2026-06-05,https://labelgrade.com/banquet-classic-salisbury-steak-meal-11-88-onz
black-forest-fruit-snacks-22-4-oz-635-g,Black Forest,Fruit Snacks,Fruit Snacks,041420013997,2055287,1 POUCH,,69.9,1,0,0,18,0,12,,15,63,C,56,68,0,100,30,100,2026-06-06,https://labelgrade.com/black-forest-fruit-snacks-22-4-oz-635-g
lesserevil-himalayan-pink-salt-popcorn-4-6-oz,LesserEvil,Himalayan Pink Salt Popcorn,Popcorn & Puffed Snacks,0180999001001,2599517,28g / 3 cups,,120,2,6,5,14,4,0,0,190,63,C,61,80,100,31,100,25,2026-06-05,https://labelgrade.com/lesserevil-himalayan-pink-salt-popcorn-4-6-oz
mission-flour-tortillas-11-5-oz,Mission,Flour Tortillas,Tortillas & Wraps,073731004159,2185788,1 TORTILLA,,140,4,3.5,1.5,24,0.98,1,,420,63,C,62,63,96,22,44,80,2026-06-05,https://labelgrade.com/mission-flour-tortillas-11-5-oz
quaker-instant-oatmeal-maple-and-brown-sugar-1-69-oz-2-54-lbr,Quaker,Quaker Instant Oatmeal Maple & Brown Sugar 1.69 oz,Cereal,00030000319710,2650330,1 Packet (48g),,180,4,2.5,0.499,37,2.98,14,14,290,63,C,62,74,36,35,73,95,2026-06-05,https://labelgrade.com/quaker-instant-oatmeal-maple-and-brown-sugar-1-69-oz-2-54-lbr
rold-gold-tiny-twists-cheddar-pretzels-10-oz-plastic-bag,Rold Gold,Tiny Twists Cheddar Pretzels,"Chips, Pretzels & Snacks",00028400021869,1457792,about 20 pretzels (28g),,110,2,1.5,0,22,1.01,1,,480,63,C,61,56,100,0,55,100,2026-06-06,https://labelgrade.com/rold-gold-tiny-twists-cheddar-pretzels-10-oz-plastic-bag
starbucks-frappuccino-chilled-coffee-drink-mocha,Starbucks,Frappuccino Mocha Chilled Coffee Drink,Coffee Drinks,492716500842,497084,1 BOTTLE,,259,9,4.48,3,47,0.822,45,,140,63,C,53,75,2,100,31,96,2026-06-06,https://labelgrade.com/starbucks-frappuccino-chilled-coffee-drink-mocha
tillamook-old-fashioned-beef-jerky-10-oz-283-g,Tillamook,"Old Fashioned Beef Jerky, Old Fashioned",Other Snacks,051943103419,2534279,1 oz,,80.1,10,1.5,0.501,7,0,7,,520,63,C,100,72,45,0,30,89,2026-06-05,https://labelgrade.com/tillamook-old-fashioned-beef-jerky-10-oz-283-g
toast-crunch-cinnamon-cereal-32-onz,General Mills,Cinnamon Toast Crunch Cereal,Cereal,00016000162433,2769681,Cinnamon Toast Crunch,,170,2,4,0,33,2.99,12,12,230,63,C,57,64,36,43,81,100,2026-06-05,https://labelgrade.com/toast-crunch-cinnamon-cereal-32-onz
babybel-semisoft-cheese-original-7-5-oz-213-g,Babybel,Babybel Original Semisoft Cheese (Mini),Cheese,041757059200,1869803,1 wheel (21 g),,70,5,6,4,0,0,0,0,160,62,C,86,82,100,27,30,22,2026-05-27,https://labelgrade.com/babybel-semisoft-cheese-original-7-5-oz-213-g
ben-and-jerrys-homemade-inc-ice-cream-chocolate-fudge-brownie,Ben & Jerry's,Chocolate Fudge Brownie Ice Cream,Ice Cream & Frozen Desserts,076840200160,498338,4 OZA,,270,5,14,9,30,2.04,23,,64.8,62,C,56,74,32,100,42,58,2026-06-05,https://labelgrade.com/ben-and-jerrys-homemade-inc-ice-cream-chocolate-fudge-brownie
cabot-sharp-cheddar-cheese-8-oz-226-g,Cabot,Cabot Sharp Cheddar Cheese,Cheese,078354702086,2016397,1 oz (28 g),,110,7,9,6,1,0,0,0,180,62,C,88,77,100,33,30,19,2026-05-28,https://labelgrade.com/cabot-sharp-cheddar-cheese-8-oz-226-g
hu-simple-chocolate-bar-2-1-oz,Hu,Simple Dark Chocolate Bar,Chocolate,010001210209,2042435,30 g,,160,2,13,8,14,3,9,,0,62,C,60,86,34,100,100,13,2026-06-05,https://labelgrade.com/hu-simple-chocolate-bar-2-1-oz
jimmy-dean-sausage-egg-and-cheese-croissant-sandwich-4-5-onz,Jimmy Dean,"Sausage, Egg & Cheese Croissant Sandwich",Frozen Breakfast,00077900118029,2753221,100 GRAM,,317,10,21,9,22,1.5,4,2.93,470,62,C,65,63,88,50,41,52,2026-06-06,https://labelgrade.com/jimmy-dean-sausage-egg-and-cheese-croissant-sandwich-4-5-onz
kraft-natural-pepper-jack-cheese,Kraft,Kraft Natural Pepper Jack Cheese,Cheese,021000001965,1592624,1 oz (28 g),,110,7,9,5,0,0,0,,190,62,C,88,72,100,31,30,25,2026-05-28,https://labelgrade.com/kraft-natural-pepper-jack-cheese
motts-medleys-fruit-snacks-assorted-berry,Mott's,Medleys Fruit Snacks (Assorted Berry),Fruit Snacks,016000477087,1636112,1 POUCH,,80,0,0,0,19,0,10,,29.9,62,C,50,76,4,87,30,100,2026-06-06,https://labelgrade.com/motts-medleys-fruit-snacks-assorted-berry
philadelphia-original-cream-cheese,Philadelphia,Philadelphia Original Cream Cheese,Cheese,021000048786,1514835,1 oz (28 g),,100,2,9,6,1,0,1,,105,62,C,61,85,100,62,30,19,2026-05-28,https://labelgrade.com/philadelphia-original-cream-cheese
johnsonville-brats-orginal-bratwurst-original-26-6-oz-1-66-lbs,Johnsonville,Original Bratwurst,"Sausages, Hot Dogs & Brats",077782030174,1909061,"1 GRILLED LINK, PER CONTAINER",,260,14,21,8,2,0,1,,680,61,C,76,67,96,24,30,49,2026-06-06,https://labelgrade.com/johnsonville-brats-orginal-bratwurst-original-26-6-oz-1-66-lbs
kraft-macaroni-and-cheese-dinner,Kraft,Macaroni & Cheese Dinner,Macaroni & Cheese,021000037377,1592690,1 PACKAGE,,210,6,3,1.5,39,0.99,6,,460,61,C,66,54,87,23,43,82,2026-06-05,https://labelgrade.com/kraft-macaroni-and-cheese-dinner
welchs-fruit-snacks-11-oz-312-g,Welch's,Fruit Snacks Mixed Fruit,Fruit Snacks,034856522041,2054768,1 POUCH,,44.9,0,0,0,11,0,7,,5.04,61,C,50,68,0,100,30,100,2026-06-06,https://labelgrade.com/welchs-fruit-snacks-11-oz-312-g
boars-head-genoa-salami,Boar's Head,Boar's Head Genoa Salami,"Pepperoni, Salami & Cold Cuts",0042421500158,2615688,8 slices (56g),,190,12,15,5,1,0,0,,870,60,C,82,67,100,0,30,52,2026-06-07,https://labelgrade.com/boars-head-genoa-salami
boursin-gourmet-spreadable-cheese-garlic-and-herb-6-5-oz-184-g,Boursin,Boursin Garlic & Herb Cheese,Cheese,079813060600,1850293,2 Tbsp (23 g),,80,2,8,4.5,1,0,0,,110,60,C,63,80,100,49,30,21,2026-05-28,https://labelgrade.com/boursin-gourmet-spreadable-cheese-garlic-and-herb-6-5-oz-184-g
hebrew-national-beef-franks-11-oz-312-g,Hebrew National,Hebrew National Beef Franks,Sausages & Hot Dogs,074956182851,1935303,1 frank (45 g),,99.9,5,8,3,2,0,0,,500,60,C,67,67,100,11,30,62,2026-05-28,https://labelgrade.com/hebrew-national-beef-franks-11-oz-312-g
heinz-indian-relish,Heinz,Indian Relish,Condiments & Sauces,01362408,1600502,1 Tbsp,,20,0,0,0,5,0,3,,95,60,C,50,69,56,33,30,100,2026-06-05,https://labelgrade.com/heinz-indian-relish
keebler-club-crackers-original-13-7oz,Keebler,Club Original Crackers,Other Snacks,00030100120575,2518398,4 Crackers,,68.6,0.812,3.15,0.448,9.25,0.252,1.23,1.23,127,60,C,59,65,81,20,43,79,2026-06-05,https://labelgrade.com/keebler-club-crackers-original-13-7oz
kelloggs-froot-loops-cereal-75oz-0-75-onz,Kellogg's,Froot Loops Cereal,Cereal,00038000017674,2736037,1 Container,,78.5,1.2,0.798,0.399,18.4,1.2,6.57,6.45,111,60,C,59,65,32,45,70,88,2026-06-05,https://labelgrade.com/kelloggs-froot-loops-cereal-75oz-0-75-onz
totinos-frozen-pepperoni-party-pizza-10-2-onz,Totino's,Pepperoni Party Pizza,Pizza,00042800114006,2745454,1/2 Pizza,,360,9,19,8,38,2.03,4,2.03,740,60,C,59,51,92,47,40,67,2026-06-05,https://labelgrade.com/totinos-frozen-pepperoni-party-pizza-10-2-onz
wish-bone-italian-dressing-16-fl-oz-473-ml,Wish-Bone,Italian Dressing,Salad Dressings,041321005411,2039896,2 Tbsp,,15,0,0,0,3,0,2,,350,60,C,50,69,85,9,30,100,2026-06-06,https://labelgrade.com/wish-bone-italian-dressing-16-fl-oz-473-ml
jimmy-dean-premium-pork-sausage-with-bacon-12-oz-340-g,Jimmy Dean,Premium Pork Sausage with Bacon,"Sausages, Hot Dogs & Brats",077900118487,2623963,2 oz,,240,13,20,7,1,0,1,,600,59,C-,85,64,96,13,30,39,2026-06-06,https://labelgrade.com/jimmy-dean-premium-pork-sausage-with-bacon-12-oz-340-g
kelloggs-frosted-flakes-corn-flake-cereal-8-4-oz-240-g,Kellogg's,Frosted Flakes Cereal,Cereal,038000907722,2107423,1 CONTAINER,,220,3,0,0,53,1.02,21,,310,59,C-,58,72,16,46,42,100,2026-06-05,https://labelgrade.com/kelloggs-frosted-flakes-corn-flake-cereal-8-4-oz-240-g
orville-redenbachers-movie-theater-butter-popcorn-54-onz,Orville Redenbacher's,Movie Theater Butter Popcorn,Popcorn & Puffed Snacks,00027000073193,2755279,2 tbsp (34g) unpopped (makes about 4.5 cups popped),,160,2,10,5,17,2.99,0,0,340,59,C-,59,72,100,15,92,33,2026-06-06,https://labelgrade.com/orville-redenbachers-movie-theater-butter-popcorn-54-onz
ball-park-beef-franks-2-oz-10-lbr,Ball Park,Beef Franks,"Sausages, Hot Dogs & Brats",10054500167159,2743037,100 GRAM,,261,12.3,22.8,10.5,1.75,0,0,,842,58,C-,68,62,100,23,30,46,2026-06-06,https://labelgrade.com/ball-park-beef-franks-2-oz-10-lbr
haagen-dazs-ice-cream-banana-rum-jam-14-fl-oz-414-ml,Häagen-Dazs,Banana Rum Jam Ice Cream,Ice Cream & Frozen Desserts,074570620425,2111803,0.5 cup,,270,4,16,10,28,0,26,,59.8,58,C-,56,75,17,100,30,50,2026-06-05,https://labelgrade.com/haagen-dazs-ice-cream-banana-rum-jam-14-fl-oz-414-ml
hormel-pepperoni,Hormel,Hormel Pepperoni,"Pepperoni, Salami & Cold Cuts",037600121149,470083,15 SLICES,,120,7,10,3.5,0,0,0,,610,58,C-,85,67,100,0,30,41,2026-06-07,https://labelgrade.com/hormel-pepperoni
nabisco-nilla-wafer-cookies-vanilla-1x1-oz,Nabisco,Nilla Wafers,Cookies,00044000013813,1458615,1 pack (28g),,130,1,5,1,20,0,10,,110,58,C-,55,73,32,60,30,77,2026-06-05,https://labelgrade.com/nabisco-nilla-wafer-cookies-vanilla-1x1-oz
oscar-mayer-bologna,Oscar Mayer,Bologna,"Pepperoni, Salami & Cold Cuts",044700008577,1624946,1 SLICE,,80.1,3,7,2.5,1,0,0,,250,58,C-,66,62,100,20,30,52,2026-06-05,https://labelgrade.com/oscar-mayer-bologna
whisps-garlic-herb-cheese-crisps,Whisps,Whisps Garlic Herb Cheese Crisps,Protein Chips & Snacks,00810030721017,2755571,1 oz (28 g / about 23 crisps),,150,13,10,7,2,0,0,0,370,58,C-,100,70,100,4,30,15,2026-05-31,https://labelgrade.com/whisps-garlic-herb-cheese-crisps
gatorade-recover-whey-protein-bar-chocolate-chip-2-8-ounce-plastic-bag,Gatorade,Gatorade Recover Whey Protein Bar Chocolate Chip 2.8 Ounce Plastic Bag,"Snack, Energy & Granola Bars",00052000104325,1460113,1 Bar (80 g),,361,20.4,12.6,9.89,41.5,1.6,28.9,,157,57,C-,88,70,0,80,44,39,2026-06-03,https://labelgrade.com/gatorade-recover-whey-protein-bar-chocolate-chip-2-8-ounce-plastic-bag
heinz-tomato-ketchup,Heinz,Tomato Ketchup,Condiments & Sauces,01311501,1624854,1 Tbsp,,20.1,0,0,0,5,0,4,,160,57,C-,50,70,48,18,30,100,2026-06-05,https://labelgrade.com/heinz-tomato-ketchup
maruchan-ramen-noodle-soup-chicken-3-oz-85-g,Maruchan,Ramen Noodle Soup Chicken,Instant Noodles & Ramen,041789004117,2032433,0.5 BLOCK OF NOODLES WITH SEASONING,,190,4,7,3.5,26,0.989,1,,530,57,C-,64,62,95,7,46,55,2026-06-06,https://labelgrade.com/maruchan-ramen-noodle-soup-chicken-3-oz-85-g
slim-jim-original-snacks-1-12-onz,Slim Jim,Slim Jim Original Snack Sticks,Meat Sticks / Jerky,00026200001883,2758879,4 sticks (32 g),,150,6,11,4,6,0.992,0.998,0.992,530,57,C-,78,67,93,0,52,39,2026-05-28,https://labelgrade.com/slim-jim-original-snacks-1-12-onz
smithfield-thick-cut-bacon,Smithfield,Smithfield Thick Cut Bacon,Bacon,070800041251,1507273,1 pan-fried slice (12 g),,60,3,5,2,0,0,0,,220,57,C-,88,66,100,0,30,28,2026-05-28,https://labelgrade.com/smithfield-thick-cut-bacon
glorious-spam-classic-48-oz-3-lbs-1-36-kg,Spam,Classic,Canned Meat & Entrees,037600001045,1949626,2 oz,,180,7,16,6,1,0,0,,790,56,C-,69,69,100,1,30,45,2026-06-06,https://labelgrade.com/glorious-spam-classic-48-oz-3-lbs-1-36-kg
kens-steak-house-dressing-chefs-reserve-farmhouse-ranch-with-buttermilk-9-fl-oz-268-ml,Ken's Steak House,Chef's Reserve Farmhouse Ranch Dressing,Salad Dressings,041335444497,2008827,2 Tbsp,,160,0,16,2.5,2,0,0.999,,260,56,C-,50,65,100,22,30,55,2026-06-06,https://labelgrade.com/kens-steak-house-dressing-chefs-reserve-farmhouse-ranch-with-buttermilk-9-fl-oz-268-ml
nathans-famous-beef-cocktail-franks-12-oz,Nathan's Famous,Nathan's Famous Beef Cocktail Franks,Sausages & Hot Dogs,0888313917150,2626171,5 links (56 g),,170,7,15,6,2,0,0,,680,56,C-,69,64,100,8,30,45,2026-05-28,https://labelgrade.com/nathans-famous-beef-cocktail-franks-12-oz
pillsbury-original-crescent-rolls-4-count-onz,Pillsbury,Original Crescent Rolls,Refrigerated Dough,00018000004027,2758513,1 roll,,100,1,4.5,2,12,0,3,1.99,220,56,C-,55,65,84,26,30,59,2026-06-06,https://labelgrade.com/pillsbury-original-crescent-rolls-4-count-onz
jiffy-corn-muffin-mix-51-oz,Jiffy,Corn Muffin Mix,Baking Mixes,072486002281,2018383,0.25 cup,,160,2,4.5,2,27,0.988,7,,340,55,C-,58,64,59,20,48,69,2026-06-06,https://labelgrade.com/jiffy-corn-muffin-mix-51-oz
nabisco-biscuit-company-nutter-butter-cookies,Nutter Butter,Peanut Butter Sandwich Cookies,Cookies,044000041069,540983,1 PACK,,120,2,5,2,16,0,8,,90,55,C-,62,70,30,63,30,56,2026-06-05,https://labelgrade.com/nabisco-biscuit-company-nutter-butter-cookies
snyders-of-hanover-pieces-pretzel-jalapeno-3-5-oz-99-2-g,Snyder's of Hanover,Jalapeño Pretzel Pieces,"Chips, Pretzels & Snacks",077975028766,2077902,1 oz,,140,2,5,3,20,1.01,1,,370,54,D,61,64,92,4,55,45,2026-06-06,https://labelgrade.com/snyders-of-hanover-pieces-pretzel-jalapeno-3-5-oz-99-2-g
sun-maid-yogurt-raisins-vanilla-25-oz-709-g,Sun-Maid,Vanilla Yogurt Raisins,Dried Fruit & Raisins,041143092750,1873478,0.25 cup,,120,0.999,4,4,21,0.99,18,,15,54,D,55,75,0,100,53,37,2026-06-06,https://labelgrade.com/sun-maid-yogurt-raisins-vanilla-25-oz-709-g
hersheys-milk-chocolate-standard-bar-1-55-onz,Hershey's,Milk Chocolate Bar,Candy & Chocolate,00034000002405,2769915,1 bar,,210,3,13,8,26,0.989,25,21,34.8,53,D,61,75,0,100,46,23,2026-06-06,https://labelgrade.com/hersheys-milk-chocolate-standard-bar-1-55-onz
betty-crocker-super-moist-chocolate-fudge-cake-mix-15-25-onz,Betty Crocker,Super Moist Chocolate Fudge Cake Mix,Baking Mixes,00016000409897,2491612,1/10 package,,160,2,1.5,1,35,0.989,18,17,380,50,D,57,60,13,21,46,85,2026-06-06,https://labelgrade.com/betty-crocker-super-moist-chocolate-fudge-cake-mix-15-25-onz
sweet-baby-rays-barbecue-sauce-18-oz-510-g,Sweet Baby Ray's,Original Barbecue Sauce,Condiments & Sauces,013409515839,2013494,2 Tbsp,,69.8,0,0,0,17,0,15,,280,50,D,50,64,8,26,30,100,2026-06-05,https://labelgrade.com/sweet-baby-rays-barbecue-sauce-18-oz-510-g
